,ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG
8002,771117288,0,43.0,0,9.0,"$109,237",No,$0,z_No,z_F,Masters,Lawyer,17,Private,"$26,900",7,z_SUV,no,$0,0,No,0,$0,18.0,0
9908,411096665,0,38.0,0,7.0,"$19,341",No,"$118,468",z_No,M,<High School,z_Blue Collar,36,Commercial,"$7,030",11,Pickup,no,$0,0,No,1,"$7,123",0.0,1
10122,312095500,0,43.0,0,13.0,"$24,911",No,$0,Yes,M,z_High School,Student,66,Commercial,"$18,170",1,Van,yes,$0,0,No,0,$0,0.0,1
3231,574513469,0,58.0,0,16.0,"$97,890",No,"$325,876",Yes,M,Masters,Lawyer,10,Private,"$25,040",4,Minivan,yes,$0,0,No,0,$0,16.0,0
9240,983800811,0,49.0,0,13.0,"$41,137",No,,Yes,M,Masters,Professional,49,Private,"$14,080",6,Minivan,yes,$0,0,No,0,$0,13.0,1
10101,737721751,0,27.0,1,7.0,"$31,407",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,42,Commercial,"$11,890",1,z_SUV,no,$0,0,No,1,"$4,506",9.0,1
7701,246699308,0,25.0,3,9.0,"$10,852",Yes,$0,z_No,z_F,<High School,Home Maker,59,Private,"$10,830",6,z_SUV,no,$0,0,No,1,"$3,392",1.0,1
8379,266247232,0,29.0,3,13.0,"$10,355",No,$0,Yes,M,z_High School,Student,23,Commercial,"$19,080",6,Van,no,"$4,260",1,No,3,$0,,0
6290,835345367,0,41.0,0,0.0,$0,No,"$115,329",Yes,z_F,z_High School,Home Maker,65,Private,"$5,900",1,z_SUV,no,"$3,218",1,No,7,"$2,953",6.0,1
3262,186788748,0,48.0,0,0.0,$0,No,"$105,542",Yes,z_F,z_High School,Home Maker,24,Private,"$19,250",13,Sports Car,no,"$5,245",2,No,2,$0,1.0,0
7077,562116386,0,49.0,0,9.0,"$114,679",No,"$342,865",Yes,M,Bachelors,Manager,39,Commercial,"$17,870",1,Van,no,$0,0,No,0,$0,9.0,0
5379,273566676,0,34.0,0,9.0,"$12,216",No,$0,z_No,z_F,z_High School,Student,39,Commercial,"$5,560",6,z_SUV,no,$0,0,Yes,0,"$2,080",0.0,1
5727,688891188,0,41.0,2,11.0,"$242,731",No,,Yes,z_F,PhD,Doctor,37,Private,"$18,490",7,z_SUV,no,$0,0,No,2,$0,18.0,0
10129,110119669,0,44.0,1,14.0,"$62,502",No,"$201,110",Yes,M,Bachelors,Professional,31,Commercial,"$23,590",1,Panel Truck,yes,$0,0,No,0,$0,10.0,0
5063,776858787,0,50.0,0,7.0,"$85,342",No,"$263,337",z_No,M,Masters,Professional,46,Private,"$19,520",3,Minivan,yes,$0,0,No,0,$0,,0
6016,192450296,0,33.0,1,10.0,"$18,721",Yes,$0,z_No,z_F,<High School,Clerical,9,Private,"$20,650",9,z_SUV,no,$0,0,No,0,$0,,0
2201,441803535,0,44.0,3,0.0,$0,Yes,"$92,488",z_No,z_F,z_High School,Home Maker,28,Private,"$7,120",7,Sports Car,no,$0,0,No,3,$0,7.0,0
4399,111315876,0,56.0,0,8.0,"$66,429",No,"$225,996",Yes,M,Masters,Lawyer,5,Private,"$13,440",13,Minivan,yes,$0,0,No,0,$0,18.0,0
5836,63641910,0,43.0,1,10.0,"$102,765",Yes,$0,z_No,z_F,Masters,Lawyer,43,Private,"$18,150",1,Minivan,no,"$5,796",2,No,0,"$5,791",16.0,1
5166,312674281,0,43.0,0,8.0,"$62,433",No,,Yes,z_F,Bachelors,Clerical,41,Private,"$12,240",1,z_SUV,no,$0,0,No,0,$0,11.0,1
5051,215898178,0,34.0,1,9.0,"$26,128",No,"$140,038",Yes,M,<High School,z_Blue Collar,22,Commercial,"$29,050",6,Panel Truck,no,$0,0,No,2,$0,7.0,0
5831,503363297,0,36.0,2,8.0,"$47,366",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,66,Commercial,"$6,240",1,z_SUV,no,$0,0,No,1,"$1,804",4.0,1
9742,982093332,0,29.0,3,17.0,"$6,503",No,"$76,221",Yes,M,<High School,Clerical,25,Private,"$12,480",6,Minivan,yes,$0,0,No,2,$0,-1.0,0
2963,198132513,0,32.0,2,15.0,"$133,937",Yes,"$343,257",z_No,M,Bachelors,Professional,26,Private,"$18,290",1,Van,no,$0,0,No,0,$0,7.0,0
6176,822594569,0,27.0,1,10.0,"$69,357",No,"$227,852",Yes,z_F,z_High School,z_Blue Collar,33,Commercial,"$11,440",4,Sports Car,no,$0,0,No,0,"$2,051",6.0,1
170,753941980,0,56.0,0,0.0,$0,No,$0,z_No,M,<High School,Student,33,Private,"$7,000",4,Pickup,no,$0,0,No,0,$0,0.0,0
1820,288286661,0,55.0,0,8.0,"$74,003",No,"$249,395",Yes,M,z_High School,z_Blue Collar,29,Commercial,"$31,780",1,Panel Truck,yes,$0,0,No,0,$0,10.0,0
5121,752768207,0,32.0,0,10.0,"$14,418",No,$0,z_No,M,<High School,Clerical,37,Private,"$17,120",1,Van,yes,$0,0,No,2,$0,8.0,0
4358,285867056,0,52.0,0,8.0,"$27,499",No,"$118,913",Yes,M,Bachelors,Manager,17,Private,"$6,300",6,Minivan,yes,$0,0,No,1,$0,11.0,0
7845,377586215,0,38.0,2,0.0,,No,"$128,528",Yes,z_F,Bachelors,Home Maker,38,Private,"$5,600",4,Sports Car,no,$0,0,Yes,3,$0,15.0,0
2991,777681449,0,35.0,0,10.0,"$104,996",No,$0,z_No,M,Bachelors,Professional,5,Private,"$16,000",17,Minivan,no,"$45,838",2,Yes,7,$0,6.0,0
6873,975698662,2,42.0,3,13.0,"$48,778",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,85,Commercial,"$6,380",21,Sports Car,no,$0,0,No,0,$0,10.0,0
10222,522803483,0,51.0,0,12.0,"$35,024",No,"$196,320",Yes,z_F,<High School,z_Blue Collar,38,Private,"$10,100",4,z_SUV,no,$0,0,No,0,$0,5.0,0
5318,728976743,0,45.0,2,0.0,$0,Yes,$0,z_No,z_F,PhD,Doctor,39,Private,"$23,570",1,Minivan,no,"$1,380",3,No,3,"$3,666",15.0,1
3517,393735825,0,46.0,0,13.0,"$109,533",No,"$300,480",Yes,M,PhD,,37,Commercial,"$25,240",7,Panel Truck,no,"$6,035",3,No,6,$0,,0
8125,581330020,0,47.0,0,12.0,"$60,217",No,$0,z_No,z_F,Bachelors,z_Blue Collar,5,Commercial,"$7,520",8,z_SUV,no,$0,0,No,0,"$8,284",10.0,1
7786,440484436,0,56.0,0,13.0,"$92,106",No,$0,z_No,z_F,Bachelors,Manager,46,Private,"$25,710",9,Minivan,no,$0,0,No,1,$0,5.0,0
9344,242992650,0,37.0,0,5.0,"$18,539",No,"$98,559",Yes,M,<High School,Clerical,45,Private,"$9,390",6,Pickup,yes,$0,0,No,0,$0,3.0,0
8859,693513076,0,55.0,2,,"$119,273",No,"$321,164",Yes,z_F,PhD,,18,Commercial,"$40,880",1,Panel Truck,no,$0,0,No,1,"$3,041",22.0,1
9474,976688143,0,49.0,0,13.0,"$39,245",No,"$185,056",Yes,M,Masters,Manager,30,Private,"$1,500",4,Minivan,yes,$0,0,No,1,$0,13.0,1
240,720467228,0,29.0,3,13.0,"$30,955",Yes,"$111,256",z_No,z_F,z_High School,Clerical,9,Private,"$7,800",4,z_SUV,no,$0,0,Yes,0,"$2,832",7.0,0
2377,929223734,0,36.0,1,10.0,"$137,815",Yes,$0,z_No,z_F,Bachelors,Manager,33,Private,"$16,160",9,Minivan,no,$0,0,Yes,1,$0,-1.0,0
6741,586661304,0,48.0,0,12.0,"$42,764",No,"$171,180",Yes,z_F,z_High School,Clerical,17,Private,"$5,780",3,z_SUV,no,$0,0,No,2,$0,-1.0,0
292,739230069,1,38.0,1,3.0,"$69,290",Yes,$0,z_No,M,Masters,,30,Commercial,"$23,900",4,Panel Truck,yes,"$1,052",2,No,1,"$2,362",10.0,1
7770,50686424,0,30.0,4,12.0,"$4,564",Yes,$0,z_No,z_F,z_High School,Student,31,Commercial,"$13,810",4,Sports Car,no,$0,0,No,0,"$7,802",0.0,0
5094,740230736,0,46.0,0,0.0,$0,No,"$94,797",Yes,z_F,Masters,Home Maker,50,Private,"$7,310",10,z_SUV,no,$0,0,No,2,$0,21.0,1
1912,228390035,0,49.0,0,9.0,"$28,125",No,$0,z_No,z_F,z_High School,Student,51,Commercial,"$8,410",1,z_SUV,no,$0,0,No,2,$0,0.0,0
4556,833478490,0,53.0,0,9.0,"$244,905",No,"$602,718",Yes,M,PhD,,19,Commercial,"$31,490",1,Panel Truck,yes,"$5,353",1,No,0,$0,11.0,0
5587,351569400,0,50.0,0,12.0,"$143,073",No,"$404,124",Yes,z_F,Bachelors,Professional,29,Private,"$22,190",9,Minivan,no,$589,2,No,2,$0,11.0,0
10107,806403359,0,33.0,0,12.0,"$26,537",No,"$144,593",z_No,M,<High School,Clerical,48,Private,"$5,700",6,Minivan,no,"$8,256",3,No,1,"$4,863",1.0,1
3270,379401970,0,58.0,0,12.0,"$52,739",No,"$265,690",Yes,M,Bachelors,Manager,36,Private,"$13,670",9,z_SUV,yes,"$2,085",3,No,0,$0,-1.0,1
1585,38462148,0,37.0,0,13.0,"$58,008",No,"$213,887",Yes,M,z_High School,z_Blue Collar,54,Commercial,"$18,610",1,Minivan,no,$0,0,Yes,0,"$4,197",1.0,1
5524,196199984,0,26.0,1,11.0,"$101,321",Yes,,z_No,M,Bachelors,Professional,5,Private,"$11,640",1,Minivan,yes,$0,0,No,0,$0,10.0,0
9389,164452407,1,51.0,1,17.0,"$48,882",No,"$179,926",Yes,M,z_High School,Manager,35,Commercial,"$11,510",6,Pickup,yes,"$42,970",1,Yes,3,"$16,803",1.0,1
9391,458303466,1,45.0,0,13.0,"$56,237",No,"$210,027",Yes,M,z_High School,z_Blue Collar,42,Commercial,"$7,440",1,z_SUV,no,"$16,165",2,Yes,2,"$5,268",8.0,1
4690,192329478,0,58.0,0,11.0,"$16,739",No,"$119,730",Yes,M,<High School,Clerical,26,Private,"$16,890",11,Van,no,"$4,326",3,No,3,$0,2.0,0
4217,196544770,0,52.0,0,,"$53,339",No,,z_No,z_F,<High School,z_Blue Collar,37,Commercial,"$34,150",4,Pickup,no,$0,0,No,0,$0,9.0,0
8356,327799516,0,49.0,0,12.0,"$87,334",No,"$208,665",Yes,M,Bachelors,Manager,18,Private,"$14,730",11,Minivan,yes,$0,0,No,2,$0,6.0,0
9266,459438740,0,56.0,0,13.0,"$73,985",No,"$242,788",Yes,M,Masters,,20,Commercial,"$33,190",6,Panel Truck,no,$0,0,No,2,$0,19.0,0
9799,2723173,2,37.0,3,0.0,$0,Yes,$0,z_No,z_F,PhD,Home Maker,30,Commercial,"$22,810",1,Pickup,no,$0,0,Yes,0,"$5,996",19.0,1
8707,241964666,0,41.0,4,11.0,"$75,978",Yes,"$267,066",z_No,z_F,Masters,Lawyer,67,Private,"$30,080",6,Sports Car,no,$0,0,Yes,2,$0,13.0,0
4507,236563123,0,38.0,0,11.0,"$59,598",No,$0,z_No,M,<High School,z_Blue Collar,49,Private,"$14,190",1,Minivan,no,$0,0,No,0,$0,-1.0,0
8570,594743793,0,34.0,1,,"$47,424",Yes,$0,z_No,M,<High School,Clerical,37,Commercial,"$24,120",1,Panel Truck,yes,"$8,436",1,No,6,$0,5.0,0
1420,973329537,0,49.0,0,9.0,"$19,814",No,$0,Yes,M,z_High School,Student,14,Private,"$7,310",7,Pickup,yes,$0,0,No,0,$0,0.0,0
1376,146492809,0,33.0,2,10.0,"$52,102",No,"$213,376",Yes,z_F,z_High School,Clerical,23,Private,"$10,750",9,z_SUV,no,"$7,476",3,No,2,$0,-1.0,0
229,457987162,0,41.0,0,10.0,"$97,700",No,$0,z_No,z_F,Bachelors,Home Maker,43,Private,"$26,250",8,Pickup,no,$0,0,No,0,$0,4.0,0
6645,302592534,0,65.0,0,13.0,,No,"$157,022",Yes,M,<High School,z_Blue Collar,15,Private,"$13,940",10,Minivan,yes,$0,0,No,1,"$3,298",-1.0,1
3749,919557945,0,,2,0.0,,Yes,$0,z_No,z_F,Bachelors,Home Maker,31,Private,"$3,180",11,Sports Car,yes,"$25,235",1,Yes,0,"$2,541",13.0,1
6384,214962763,0,56.0,0,14.0,"$37,930",No,"$190,513",Yes,M,Bachelors,Manager,51,Private,"$10,790",12,Pickup,no,$0,0,No,0,$0,9.0,1
7724,872568300,0,47.0,0,8.0,"$79,899",No,$0,z_No,z_F,Masters,Manager,25,Private,"$9,490",1,Sports Car,no,$0,0,No,0,"$4,081",17.0,1
1671,978551833,1,45.0,3,7.0,"$85,819",No,"$262,789",Yes,M,Bachelors,z_Blue Collar,45,Commercial,"$5,700",1,Pickup,yes,"$5,699",3,No,1,"$1,107",15.0,1
6439,58001635,0,40.0,3,13.0,"$120,603",Yes,$0,z_No,M,PhD,Doctor,16,Private,"$17,560",10,Van,no,$0,0,No,0,$0,13.0,0
5130,289611036,0,59.0,0,15.0,"$25,632",No,$0,z_No,z_F,Bachelors,Home Maker,32,Private,"$7,320",3,z_SUV,no,"$8,498",2,No,4,$0,9.0,1
4149,380373654,0,56.0,0,8.0,"$21,727",No,"$175,392",Yes,M,<High School,Clerical,64,Commercial,"$17,270",1,Van,no,$0,0,No,0,$0,5.0,0
1722,259816873,0,48.0,0,7.0,"$44,481",No,"$226,940",Yes,z_F,z_High School,Clerical,30,Private,"$7,990",3,Minivan,no,$0,0,No,0,$0,2.0,1
2633,70519778,0,49.0,0,9.0,"$95,662",No,"$254,898",Yes,M,PhD,,21,Commercial,"$25,490",1,Panel Truck,no,"$4,796",3,No,5,$0,9.0,0
4100,154344467,0,50.0,0,11.0,"$125,125",No,"$335,460",Yes,z_F,PhD,Professional,12,Commercial,"$29,620",11,Pickup,no,"$10,321",1,No,4,$0,15.0,0
1126,756376204,0,30.0,3,14.0,,No,"$128,776",Yes,z_F,<High School,z_Blue Collar,34,Private,"$6,890",1,Sports Car,no,"$36,000",4,Yes,1,"$3,429",,1
7398,291961707,0,51.0,0,8.0,"$47,288",No,"$191,476",Yes,z_F,Bachelors,Manager,32,Private,"$5,120",6,z_SUV,no,$0,0,No,1,$0,10.0,1
4543,533779817,0,46.0,0,12.0,"$107,327",No,"$316,035",z_No,z_F,Bachelors,Professional,38,Private,"$24,320",1,Sports Car,no,$0,0,No,3,$0,8.0,0
1073,135293295,0,38.0,0,8.0,"$44,575",No,"$164,145",Yes,z_F,Bachelors,Professional,31,Private,"$9,760",11,z_SUV,no,"$3,787",4,Yes,4,$0,4.0,0
1982,315443402,0,56.0,0,,"$8,191",No,,Yes,M,Masters,Lawyer,33,Private,"$1,500",9,Minivan,no,"$8,786",2,No,2,"$2,719",14.0,1
997,577375929,1,48.0,1,10.0,"$39,032",Yes,"$209,556",z_No,z_F,Bachelors,Manager,43,Private,"$10,520",1,Sports Car,no,$0,0,No,1,$0,10.0,0
9283,387957280,1,38.0,2,9.0,"$23,035",Yes,$0,z_No,z_F,z_High School,Clerical,62,Private,"$15,250",12,z_SUV,no,"$2,213",3,No,2,"$13,787",4.0,1
7631,422139546,0,49.0,0,14.0,"$58,291",No,"$244,454",Yes,M,Masters,Lawyer,47,Private,"$16,200",1,Minivan,yes,"$4,751",3,No,0,$0,14.0,0
10242,172288864,0,41.0,0,11.0,"$47,458",No,$0,z_No,z_F,Bachelors,Manager,42,Private,"$20,270",1,z_SUV,no,"$21,712",3,No,5,$0,12.0,1
6341,454777790,2,36.0,2,12.0,"$97,598",No,"$275,282",Yes,z_F,PhD,Lawyer,5,Private,"$36,610",4,Van,no,$0,0,Yes,0,$0,14.0,0
3932,897476712,0,47.0,0,8.0,"$66,251",No,"$217,701",Yes,z_F,z_High School,z_Blue Collar,44,Commercial,"$25,850",1,Minivan,no,$0,0,No,2,$0,3.0,0
9844,798286468,0,55.0,0,15.0,"$73,714",No,"$225,278",Yes,M,Masters,Lawyer,49,Private,"$21,190",4,Van,yes,$0,0,No,0,$0,18.0,0
7732,446952687,0,40.0,2,14.0,"$23,541",No,"$171,928",Yes,z_F,<High School,Clerical,49,Private,"$6,250",1,z_SUV,no,$0,0,No,3,$0,4.0,0
9529,198801283,0,52.0,0,13.0,"$114,731",No,"$340,476",Yes,M,Masters,,18,Commercial,"$20,820",9,Van,no,"$2,569",1,No,3,$0,9.0,0
3747,441375085,1,45.0,3,12.0,"$44,893",No,"$222,835",Yes,z_F,z_High School,Clerical,58,Private,"$26,670",1,Minivan,no,$0,0,No,2,$0,12.0,0
2268,168101640,0,48.0,0,9.0,"$76,515",No,,Yes,z_F,Masters,Lawyer,25,Private,"$31,330",15,Minivan,no,$0,0,No,0,$0,17.0,1
8128,264512466,1,39.0,3,13.0,"$156,532",Yes,$0,z_No,M,Bachelors,Professional,31,Commercial,"$18,060",6,Van,no,$785,2,No,4,"$6,222",12.0,1
2709,726219892,0,43.0,0,10.0,"$86,596",No,"$251,362",Yes,M,Masters,Professional,32,Private,"$7,570",9,Pickup,no,$0,0,No,0,$0,16.0,0
4014,164734443,0,41.0,0,14.0,"$61,517",No,"$204,018",Yes,z_F,Bachelors,Clerical,47,Private,"$17,240",4,z_SUV,no,$0,0,Yes,1,$0,6.0,1
8786,79977172,0,47.0,0,11.0,,No,"$180,809",Yes,z_F,z_High School,z_Blue Collar,77,Commercial,"$17,240",10,Sports Car,no,$0,0,No,3,$0,9.0,0
7304,983362961,0,34.0,0,9.0,"$71,179",No,"$226,918",Yes,M,Bachelors,z_Blue Collar,19,Commercial,"$17,560",3,Van,yes,$0,0,No,5,"$2,468",7.0,1
4749,641964700,0,41.0,1,13.0,"$20,676",No,"$161,481",Yes,M,<High School,Clerical,5,Private,"$7,570",7,Pickup,yes,$0,0,No,3,$0,3.0,0
7495,354730471,0,18.0,2,13.0,"$1,114",No,$0,Yes,z_F,<High School,Student,134,Private,"$1,500",11,Sports Car,yes,$0,0,No,3,$0,4.0,0
8766,718354640,0,40.0,0,12.0,"$26,917",No,"$153,466",Yes,z_F,<High School,Clerical,18,Commercial,"$12,660",1,z_SUV,no,$0,0,No,1,$0,6.0,1
8337,593092262,1,42.0,2,0.0,$0,Yes,$0,z_No,z_F,z_High School,Home Maker,5,Private,"$5,400",5,Sports Car,no,"$9,037",3,No,6,"$4,743",6.0,1
7241,431450641,0,55.0,0,15.0,"$4,716",No,"$120,571",Yes,M,z_High School,Student,25,Private,"$7,770",13,Pickup,no,$0,0,No,1,"$6,491",1.0,1
2926,78183093,0,45.0,0,9.0,"$56,910",No,,z_No,z_F,Bachelors,Professional,36,Private,"$9,430",6,z_SUV,no,"$1,524",1,No,5,"$5,021",10.0,1
993,937101626,0,52.0,0,12.0,"$30,377",No,"$137,865",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$6,300",1,z_SUV,no,$0,0,Yes,0,"$5,600",11.0,1
5515,906159781,0,63.0,0,15.0,"$63,192",No,"$254,621",Yes,M,PhD,Lawyer,12,Private,"$13,820",6,Minivan,yes,"$7,575",2,No,0,$0,15.0,0
6585,265777754,0,46.0,0,12.0,"$56,828",No,"$201,430",z_No,z_F,z_High School,z_Blue Collar,54,Commercial,"$14,060",11,Sports Car,no,$0,0,No,3,$937,8.0,1
388,305360927,0,50.0,0,12.0,"$10,617",No,$0,Yes,M,z_High School,Student,14,Commercial,"$7,960",10,Pickup,no,"$1,079",2,No,2,$458,9.0,1
7751,240048456,0,46.0,0,7.0,"$68,820",No,"$197,831",Yes,z_F,z_High School,z_Blue Collar,16,Commercial,"$12,780",1,Sports Car,no,$0,0,No,0,$0,0.0,0
9832,112814971,0,44.0,0,14.0,"$35,021",No,"$180,400",Yes,M,Bachelors,Manager,26,Private,"$9,700",4,Pickup,no,$0,0,No,0,$0,6.0,0
1067,422155941,0,48.0,0,0.0,$0,No,"$100,658",Yes,z_F,z_High School,Home Maker,30,Private,"$11,750",7,Sports Car,no,$0,0,No,3,"$4,025",,1
8320,836043475,0,50.0,0,12.0,"$120,030",No,"$321,152",z_No,z_F,Masters,Professional,6,Private,"$6,200",4,z_SUV,no,"$6,949",1,No,3,$0,17.0,0
4220,928170829,0,53.0,0,14.0,"$122,265",No,"$384,884",Yes,z_F,Bachelors,z_Blue Collar,29,Commercial,"$19,020",1,z_SUV,no,$0,0,No,0,$0,5.0,0
1564,503472799,0,37.0,0,12.0,"$44,977",No,"$119,567",Yes,M,z_High School,z_Blue Collar,36,Commercial,"$14,780",4,Minivan,no,$0,0,No,0,$0,1.0,0
7213,618326051,0,43.0,2,14.0,"$102,426",No,,Yes,z_F,Bachelors,Manager,5,Private,"$22,700",10,Minivan,no,$0,0,No,1,$0,5.0,0
8352,953257206,0,52.0,0,11.0,"$66,139",No,"$198,065",z_No,M,PhD,Doctor,11,Private,"$10,600",4,Pickup,no,$0,0,No,0,$0,14.0,1
9087,792036483,1,36.0,1,12.0,"$19,217",No,"$120,635",Yes,z_F,<High School,Clerical,29,Private,"$21,430",7,Minivan,no,$0,0,No,0,$0,3.0,0
649,99626436,0,58.0,0,15.0,"$37,018",No,$0,z_No,z_F,Bachelors,Professional,60,Private,"$5,200",4,Sports Car,no,$0,0,No,0,$0,,0
2582,44942139,0,30.0,0,,"$76,219",No,"$262,755",Yes,z_F,Bachelors,Professional,13,Private,"$9,120",1,z_SUV,no,$0,0,No,2,$0,5.0,0
10252,99221505,0,31.0,0,11.0,,No,"$285,652",Yes,M,Bachelors,z_Blue Collar,18,Commercial,"$1,500",1,Minivan,no,"$3,547",2,No,5,"$2,416",7.0,1
3918,671423077,0,52.0,0,13.0,"$31,114",No,"$144,375",Yes,M,Masters,Lawyer,22,Private,"$7,500",1,Pickup,no,$0,0,No,0,$0,,1
5322,386568792,0,46.0,0,14.0,"$28,408",No,"$181,535",Yes,z_F,z_High School,Home Maker,33,Private,"$14,280",7,z_SUV,no,$0,0,No,3,$0,1.0,1
5190,88501670,0,34.0,3,10.0,"$106,985",Yes,$0,z_No,z_F,Masters,Manager,8,Private,"$23,970",6,Pickup,no,$0,0,No,0,$0,11.0,1
4391,677899112,0,34.0,0,12.0,"$66,962",No,"$219,185",Yes,z_F,z_High School,z_Blue Collar,41,Commercial,"$12,100",13,z_SUV,no,$0,0,No,2,$0,9.0,0
924,888316246,0,46.0,1,8.0,"$23,921",Yes,$0,z_No,z_F,z_High School,Clerical,25,Private,"$14,070",21,Sports Car,no,"$3,805",1,No,2,"$4,488",2.0,0
3364,825268721,1,62.0,2,15.0,"$50,762",Yes,$0,z_No,M,Masters,,19,Commercial,"$31,540",13,Panel Truck,no,$0,0,No,2,"$4,909",2.0,1
5878,670318770,0,40.0,3,,,Yes,$0,z_No,z_F,Bachelors,Professional,36,Commercial,"$21,030",1,Pickup,no,$0,0,No,0,$0,7.0,0
4946,609570914,0,61.0,0,12.0,$601,No,"$109,016",z_No,M,<High School,Student,21,Private,"$7,260",1,Pickup,yes,$0,0,No,1,$0,5.0,0
3815,5103700,0,40.0,0,14.0,"$35,403",No,"$184,059",Yes,z_F,<High School,z_Blue Collar,44,Private,"$9,540",10,z_SUV,no,$0,0,No,0,"$45,987",8.0,1
5162,618184542,0,52.0,0,10.0,"$91,245",No,"$278,928",Yes,z_F,<High School,z_Blue Collar,10,Private,"$15,420",8,z_SUV,no,"$3,136",2,No,8,$0,0.0,0
205,581342206,1,40.0,3,0.0,$0,Yes,$0,z_No,M,z_High School,Home Maker,36,Private,"$16,510",4,Minivan,no,"$17,445",3,Yes,0,"$2,659",-1.0,1
10036,402530535,0,44.0,1,14.0,"$59,115",Yes,$0,z_No,M,Bachelors,Professional,25,Commercial,"$36,980",6,Panel Truck,yes,$0,0,No,4,"$26,188",4.0,1
5940,818714696,0,43.0,0,13.0,"$89,627",No,$0,z_No,M,Masters,Lawyer,14,Private,"$14,860",6,Minivan,yes,$0,0,No,0,$0,17.0,1
6505,554193726,0,42.0,0,9.0,"$103,636",No,"$270,623",Yes,M,Bachelors,Manager,47,Private,"$14,070",7,Minivan,yes,$0,0,No,0,$0,0.0,0
6409,72110926,0,36.0,2,13.0,"$72,188",No,"$229,982",Yes,z_F,Bachelors,Professional,29,Private,"$9,790",17,z_SUV,no,"$3,176",2,No,1,$0,11.0,0
2543,34557554,0,20.0,0,0.0,$0,No,$0,z_No,M,<High School,Student,22,Private,"$3,700",3,Minivan,yes,$0,0,No,0,"$5,430",2.0,1
6682,499881804,0,35.0,3,,"$83,156",No,"$255,687",Yes,M,Bachelors,Professional,10,Private,"$21,830",13,Van,yes,$0,0,No,0,$0,5.0,0
7801,221734825,0,56.0,0,14.0,"$188,059",No,,z_No,M,PhD,Doctor,28,Private,"$26,010",1,Minivan,yes,"$25,989",1,Yes,4,$0,12.0,0
3075,996649251,0,32.0,4,0.0,$0,No,"$89,983",Yes,z_F,<High School,Home Maker,17,Private,"$20,990",7,z_SUV,no,$0,0,No,0,$0,3.0,0
1623,921144346,0,63.0,3,17.0,"$44,966",No,$0,Yes,z_F,Bachelors,Student,40,Private,"$11,900",1,Minivan,no,"$6,606",1,No,2,$0,12.0,0
3099,605817593,1,44.0,2,12.0,"$79,076",No,,Yes,z_F,Masters,Home Maker,26,Private,"$16,150",6,Minivan,no,$0,0,No,0,$0,12.0,0
8565,640239709,0,36.0,0,0.0,$0,No,$0,z_No,z_F,z_High School,Student,40,Commercial,"$5,500",17,z_SUV,no,$0,0,Yes,5,"$4,622",12.0,1
3636,338253786,0,41.0,0,15.0,"$70,255",No,"$208,574",Yes,M,z_High School,Clerical,38,Commercial,"$31,560",12,Panel Truck,yes,$0,0,No,0,$0,1.0,1
6299,331898973,0,37.0,2,13.0,"$79,484",No,"$239,904",Yes,z_F,Bachelors,z_Blue Collar,19,Commercial,"$5,400",1,z_SUV,no,$0,0,No,2,$0,3.0,0
2617,329938074,0,50.0,0,9.0,"$59,233",No,"$167,038",z_No,z_F,Bachelors,z_Blue Collar,14,Commercial,"$21,420",1,Minivan,no,$0,0,No,1,"$4,719",7.0,1
1651,194301482,0,,2,0.0,$0,Yes,$0,z_No,z_F,<High School,Home Maker,23,Private,"$14,500",1,z_SUV,yes,$0,0,No,0,"$3,444",5.0,1
394,385226708,0,50.0,0,13.0,"$193,895",No,"$445,020",Yes,z_F,Masters,Lawyer,51,Private,"$9,060",10,z_SUV,no,"$3,400",3,No,0,$0,13.0,0
9718,616789234,0,43.0,0,12.0,"$92,049",No,"$267,902",Yes,z_F,Bachelors,z_Blue Collar,66,Commercial,"$6,000",1,Sports Car,no,"$41,771",2,Yes,2,$0,11.0,0
8598,317313846,0,59.0,0,13.0,"$30,010",No,"$155,394",Yes,M,z_High School,Professional,56,Private,"$14,430",7,Minivan,no,"$8,586",1,No,4,$0,4.0,1
4293,379583651,1,35.0,1,10.0,,No,"$180,150",Yes,M,Bachelors,Manager,40,Private,"$5,400",4,Minivan,yes,"$6,349",1,No,1,$0,8.0,0
2295,855248699,0,28.0,0,0.0,$0,No,$0,z_No,M,z_High School,Student,25,Commercial,"$4,500",1,Pickup,yes,"$2,409",3,No,3,"$2,668",9.0,1
6859,190313170,0,48.0,0,12.0,"$51,834",No,"$205,761",Yes,z_F,Bachelors,z_Blue Collar,34,Commercial,"$28,190",7,Minivan,no,$0,0,No,0,$0,15.0,0
6735,223321607,0,48.0,0,,"$70,135",No,$0,z_No,M,Masters,Manager,5,Private,"$13,510",1,Minivan,yes,$0,0,No,0,"$4,667",11.0,1
